tweet_id_customer,text_customer,tweet_id_uber,text_uber
2408,"@115877 dealing with a driver who is literally incompetent and just swore down the phone, i hope this isn’t what ubereats stands for?",2407,@116266 We're so sorry for the trouble. Send us a note via https://t.co/G6utFs8cUp so we can assist.
2410,.@115873 I️t took our driver over 5 minutes to start moving for our ride. We have a flight to catch. If they can’t do the ride then they shouldn’t accept I️t. #CustomerService,2409,@116267 Here to help! Send us a note here https://t.co/fS660rQ8NQ so we can assist.
2412,How did I not get a ride out of this surge!? I’m at the Four Seasons resort and there is only one car around me and it’s farther away. Thanks @115873. #scrubered. https://t.co/qdicFjZlXB,2411,@116268 We can take a look! Send us a note via https://t.co/tv4psVy8sr so our team can get in touch.
2414,Ugh! @115873 is there a reason you disabled my ability to respond to a complaint you guys asked me to resend information to?,2413,@116269 We've been in touch via DM!
2414,Ugh! @115873 is there a reason you disabled my ability to respond to a complaint you guys asked me to resend information to?,2415,@116269 Here to help! Send us a DM with your email address with more info so we can assist.
2417,@Uber_Support I submitted an online request and expect a cancellation credit to my account as I would of had to pay. Thank you!,2419,@116270 Here to help! Send us a DM with your email address so we can assist.
2418,Hey @116271 my scheduled ride canceled on me when he was 1 minute away. If I cancel I pay $5. I need a $5 credit.,2416,@116270 Here to help! Follow up here; https://t.co/h840Iouehc and our team will connect right away.
2422,@Uber_Support Thank you for your response. Put in a request and am waiting for reply!,2424,@116272 We're here to help! Send us a DM with your email address so we can follow up.
2423,@115877 just made a $35 ubereats order from @116273 and did not receive my burrito. Who should I contact?,2421,@116272 We can definitely take a look! Send us a note via https://t.co/nFTc4ODH3P so we can assist.
2426,@Uber_Support Or even reply.,2425,"@116274 We're following up with you via DM, be on the look out for our response."
2429,@116276 any reason I’m trying to Inform ur support staff that my debit card is being charged fraudulently from another Uber account while I’m at work and no one seems to care?,2428,"@116275 We'd be happy to look into this, Frank. Please provide the email address you used to reach out to us so we can further review and assist."
2432,.@115877’s surge pricing is ridiculous. I literally just ordered the exact same food from @425 on @154 for $13 less. 🙄,2430,@116277 The busy area fee helps us maintain the reliability &amp; speed of our service. You can try again later when there may be less demand.
2434,"@Uber_Support Is there a way I can address a specific issue? Though i already received compensation for that ride i reported, I'd like to mention it would've been avoided if the route to my location was plotted correctly. The map told him to pass through a route that had a dead end",2433,"@116278 We're here to help! Send us a note here, https://t.co/z33D4A8p40 and our team will be in touch."
2436,Hi @Uber_Support I have a problem with a cancellation fee I was charged but the case fits none of the options. How can I report i this?,2435,@116278 Here to help. Send us a note at https://t.co/QsI1vsvcif so our team can connect.
2438,"@115873 awful customer service, why bother trying to contact the head office?",2437,"@116279 Hi, Jenny! Kindly send us details regarding your concern so our team can assist."
2440,"@Uber_Support i’m already registered as a driver, lower the age requirement or let me bypass the rule please",2442,@116280 Here to help! Contact us here;  https://t.co/uRjsQ64qLY so we can take a closer look.
2443,@Uber_Support i’m 4 months away from being 21 and have driving experience including delivery. i feel i should be able to drive now instead of waiting to be 21,2444,@116280 Hi! Please visit https://t.co/Xaf6cZMUVR for more information.
2441,@115873 i’m only a few months away from 21. let me drive anyway,2439,@116280 Here to help! For more info please visit;https://t.co/Xaf6cZMUVR.
2446,"@Uber_Support That's a big lie otherwise my account would be up and running, stop lying, I'll make it public all the lies your guys have told me, been told it would only take 48 hours been waiting 5 DAYS",2448,"@116281 Hey there, Jasmany! We can see that a member of our team is looking into this for you. In an effort to enhance your support experience, and to avoid further confusion we'll be following up with any further questions or concerns you may have through in-app support."
2447,"@116276 ANSWER ME, WHY IF I REPORT ANOTHER DRIVER WITH A GUN IN HI VEHICLE MY ACCOUNT GETS PUT ON HOLD????????",2445,"@116281 Sorry to hear about the trouble, Jasmany. We've escalated your concern - a member of our team will be in touch shortly via in-app. These type of issues are handled off social media. We apologize for any inconvenience this may have caused."
2451,"@Uber_Support I already messaged you her email address. Not sure what you mean with in-app support, but do you realize you guys deactivated her account?",2453,@116282 Here to help! Please confirm the email address or phone number through direct message so we can further assist
2452,"@115873 @Uber_Support 
My wife account got charged w 2 uber eats orders we never placed.
Called help number,  and after 20 min hold, all we were told had to email uber help
Seriously?",2450,"@116282 We definitely want to take a closer look. However, due to our policy terms and conditions, we will need to discuss this with the account holder. Please message us with the email address associated with the account and we'll follow up with her directly via in-app support."
2455,An uber driver 1)let me drive 2)started petting my hair as I drive 3)hugged me goodbye and 4)proceeded to touch my ass dyring said weird ass hug @115873 get ur shit together,2454,@116283 We're here to help. Send us a DM with your email address so we can assist.
2457,"@Uber_Support I booked a trip with you tonight, and after I paid for the trip the driver never came and the drive was completed in the app, what can we do to get our money back?",2456,@116284 Here to help. Send us a note at https://t.co/e8HVorX5rh so our team can connect.
2459,@Uber_Support I definitely did this to no avail - it kept defaulting to the terminal.,2461,"@116285 Sorry to hear about the trouble, Eric! At airports, there are usually only specific pick up zones which would then make moving the pin to your exact location default back to the designated pick up zone. We apologize for the inconvenience."
2460,"@Uber_Support; why do you make it impossible to arrange for a pick up at an FBO at an airport? I'm in the US and no matter what I do, the pick up location defaults to the terminal. I'm not at the the terminal. I'm at the FBO. You guys lost 3 rides tonight.",2458,"@116285 Hi, Eric. Kindly visit this link for more info; https://t.co/HULHsCQlaL"
2463,"For those of you who saw my insta story earlier today, I am safe. I got into a car accident while riding in my @115873 and am currently being checked out in the ER. Moments like this make me realize how quickly things in life can change and how lucky I am to be here. I thank God.",2462,@116286 We absolutely want to follow up right away. Please send us a DM with your email address so we can connect.
2465,"@115873 @116288 My friend, Harsh Ranjan left his phone in uber cab while returning home. He tried calling his phone, it rang at the beginning then after few seconds it's coming as switched off. I am sharing the driver details and trip details. Kindly help. https://t.co/m1QNY1rSm2",2464,@116287 Due to our privacy policy we're not able to address these concerns over social. Please have the account holder (or the person you're writing in for) contact us at https://t.co/rOtqyWzf0B so we can assist them further. Please let us know if you have any other questions.
2467,@Uber_Support Minimum fare rides lose money. Fix it.,2466,@116289 We can definitely take a look! Send us a DM with your email address so we can follow up.
2469,@Uber_Support Already did weeks ago. Been answered to reboot/reinstall.,2468,@116290 Happy to help! Please confirm your email address or phone number through direct message (DM) so our team can assist you further.
2471,@Uber_Support Well paypal payment not working since the start of the week.,2470,@116290 Here to help! Send us a DM with your email address so we can assist.
2474,@Uber_Support since the ParisGamesWeek your system dosnt work by paypal. F*** it i'm taking taxis.,2472,@116290 Here to help. Send us a note at https://t.co/5MN4s6W3AA so our team can connect.
2476,@Uber_Support I already tried this. It failed.,2475,@116291 We're here to help! Send us a DM with your email address so we can follow up.
2478,When your @115873 driver accuses you of stealing his “hustle” money from his cup holder but then finds it under his seat and was rude and disrespectful &amp; denies you a refund...,2477,@116291 Here to help! Send us a note at https://t.co/fS660rQ8NQ so our team can connect.
2480,@115877 Tell me why I've called support four times and been on hold for ages every time .. If no one answers what's the point of having a support number,2479,@116292 We're here to help. Can you please send us a DM with your email address so we can look into this?
2494,"@115877 AND NOW, I CAN'T EVEN REORDER BECAUSE THE RESTAURANT IS CLOSED!!!!!!!!!!!!!!!!!!!!!!!!!! UBER EATS UBER SUCKS.",2493,@116299 So sorry to hear this. Please send us a DM with your email address so we can help.
2714,@Uber_Support I Dm'ed you!,2713,@116355 Thank you for following up. A member of our team will be in touch shortly through DM.
2717,"@Uber_Support I need help with my Account, It gets disabled every time I try to login and it's getting really frustrating!😬😠",2715,@116355 It seems a member of our team has reached out to you. Please check your email and follow up with them there.
2719,@Uber_Support @115877 you haven’t “reached out”. Please refund the cost of the inedible food without delay,2721,@116356 We've folllwed up via DM.
2720,@Uber_Support Just did,2718,@116356 We have received your DM and will follow up there.
2724,"Hi @115877  this is an inadequate response to me telling you I had to throw away the entire £18 order. If eat in, would’ve been sent back https://t.co/lqjrLk8BYw",2722,@116356 We're here to help! Send us a DM with your email address so we can connect.
2726,@Uber_Support I ordered food through uber eats. I did not get the delivery. Please contact me.,2725,@116357 Here to help! Send us a note at https://t.co/nFTc4ODH3P so our team can connect.
2728,"Hey, all, this guy picked my cousin up in Pittsburgh on Friday for @115873 and tried sexually assaulting her. His name is Feruzbek. https://t.co/rfzLT3fn5Q",2727,@116358 We take this very seriously. Please send us a DM with your email address so we can connect ASAP.
2730,@115877 @Uber_Support,2729,@116359 Here to help! Follow up here; https://t.co/dwDjAokZht and our team will connect right away.
2733,.@115873 how do i dispute a charge?,2732,@116360 We're here to help! Send us a DM with your email address and specific details of your issue so we can follow up.
2735,@Uber_Support it's fucking cold and we have to wait 15 min. I want to cancel my taxi. It doesn't work. Pls help. There are taxis inf front,2734,@116361 Here to help. Send us a note at https://t.co/e8HVorX5rh so our team can connect.
2942,LOLLLLL our uber just got pulled ov by tu police and £100 fine,2940,@116389 We take this very seriously. Please send us a DM with your email address and additional details so we can connect ASAP.
3161,@Uber_Support Already spoke with you guys through the app. Wasn't helpful.,3160,@116437 Thanks for following up. Please confirm your email address or phone number through direct message so we can further assist.
3163,"Uber driver drove me to wrong location, makes me get out anyway and @115873 won't provide a proper refund 🙃🙃🙃 #Delete #Fail Sup @115879 😘😘😘",3162,@116437 Happy to further assist you. Can you please send us a DM with your email address and additional details so we can follow up?
3640,So upset with ubereats! No one will get back to ME!! @Uber_Support @115877 @115877,3639,@116581 Here to help. Send us a note at https://t.co/xRfusvlJhN so our team can connect.
3717,"#uber : how funny when Uber Ask you to add even 10/- incase of low balance, and then deduct 50/- for their driver cancelling the ride.😡😡😡",3716,@116608 Here to help! Connect with us through https://t.co/zUe0dj6yoX and we'll be in touch.
3719,@Uber_Support Are you going to email me or not,3718,"@116609 We've replied via DM, please follow up there."
3721,@Uber_Support my driver crashed and I hit my head happy Halloween,3720,@116609 We hope everyone is ok. Please DM us your email address so we can follow up immediately.
3801,@Uber_Support Hello??? What's going on????,3803,@116634 We're here to help. We just sent you a DM.
3802,@Uber_Support WTF??? Trying to book &amp; it just says Oops. Trying to get help &amp; nothing is working. HELP!!! I need to book urgently #uberdrama,3798,"@116634 Hi, we're here to help. Please DM us the email linked to your Uber account so we can look into this for you."
3805,"@115873 why charge higher than the rate range when I order? Ordered uberblack in Geneva for a 5-min ride. Range was Ch19 -24, charged Ch32.38.",3804,"@116635 Here to help. For more info regarding your concern, please visit: https://t.co/UYuIveoHXo"
3807,Hey @115873 I’m currently in a car with the worlds dumbest driver.  Y’all need to start checking these fools,3806,@116636 Here to help! Send us a note via https://t.co/fS660rQ8NQ so our team can connect.
3809,@Uber_Support one of your drivers just started my ride without picking me up,3808,@116637 Here to help. Send us a note at https://t.co/fS660rQ8NQ so our team can connect.
3811,"@Uber_Support help! My vehicle registration expires today. I paid my license dept last week but have not received it in the mail, to upload.",3810,"@116638 We're here to help! Send us a note here, https://t.co/tv4psVy8sr and our team will be in touch."
3813,"@115873 ordered a car, took longer than the suggested 6 mins, then you wanted to charge me a £5 cancellation fee. You’re having a bubble bath!",3812,@116639 Here to help! Send us a note here; https://t.co/h840Iouehc and our team will be able to assist!
3815,Wtf just happened. @115873 how do i complain abott a driver who canceled on me due to discriminatory and racist judgements.#uber,3814,@116640 We take this very seriously. Please send us a DM with your email address so we can connect ASAP.
3817,@115873 I had a horrifying experience with the driver Suresh: 9958520468. he refused to pickup and threaten me cancel the booking or else...,3816,@116641 We see your outreach and a member of our team will be following up via email as soon as possible. We appreciate your patience.
3819,@Uber_Support hello! I meant as a user not as an associate!!,3818,"@116642 We're here to help! For more info, visit us at; https://t.co/AUc7vJQ0VM."
3821,"@Uber_Support I live in Mexico City, have not received facturas in the last 2 months and need then ASAP for tax report. please help!",3820,@116642 Hi there! Please send us a note via https://t.co/EkibplQL1j so we can assist further.
4585,@Uber_Support Already responded. No response. New order is 30minutes late. @116788 would do a better job. Using them from now on. Loyal customer just lost.,4583,@116787 Happy to help! Please confirm your email address or phone number through direct message so we can further assist.
4587,@115873 4 tweets and no customer service response. Ridiculous. Absolutely shocking for an “elite” customer service app. No wonder people are streaming to other apps,4586,@116787 Happy to take a look. Send us a DM (direct message) with your email address so we can connect.
4919,Having a terrible time getting @115877 to move charges to a correct credit card. 10+ emails deep and have to keep explaining. Help!,4918,@116866 We're here to help! Send us a DM with your email address and more details so we can follow up.
4921,So my $12 ride just turned into $387. Really @115873 ??? https://t.co/0mxOCJC81m,4920,@116867 We're here to help! Send us a DM with your email address so we can connect.
4923,@Uber_Support how do you add a driver?,4922,@116868 Here to help! Contact us here; https://t.co/lu151EysvX so we can take a closer look.
4925,@Uber_Support UR team messed up again lol,4927,@116869 Here to help! Please send us a DM with your email address with details so we can follow up.
4926,"@115873 I've been using the service for more than a year and never had any issues, the last week I've been charged for ur drivers mistakes.",4924,@116869 Here to help. Send us a note at https://t.co/1xM0TILvAI so our team can connect.
5859,"@115877 you failed me, seriously a burrito and queso when I ordered a salad?! And no request to get this fixed... help me out!",5858,@117111 Here to help! Send us a note at https://t.co/Tq0sPMsSdu so our team can connect.
5861,@Uber_Support This is out of date. The site https://t.co/gEBwRjewXQ is no longer online. Found this https://t.co/fvCb7ejJPp but I'm not recieving anything,5863,@117112 We're so sorry about that! Please DM us your email address so we can further assist.
5862,@Uber_Support Hi! I have a problem getting my invocie in Mexico (tax-legal facturas). Can you help or do you have a help center for Mexico?,5860,@117112 Find out more info about getting your invoice here: https://t.co/AUc7vJQ0VM
5865,I need a hookup with an @115873 promo code. Help a nigga out! #uberpromo #fucklyft #uber,5864,@117113 Here to help! Check out https://t.co/FQNTfKa7k0 for more information on earning free rides.
5867,@117115 @115877 just ordered for the first time. Order botched. Driver cant fix. Bayonne McDs wont answer phone. #fail #neveragain,5866,@117114 Sorry to hear about that! Send us a note at https://t.co/qLzKaGQcAg so our team can further assist.
6968,"@Uber_Support I don't have any card, so cannot fill the required field. I just want to know if it's a service only for inside USA or not, before purchase.",6970,@117199 Happy to take a closer look! Send us a DM with your email address so we can follow up.
6969,@Uber_Support Question! Can we send a Gift Card (maybe digital) out of US? I'm in Panama and want to send a gift card to someone in Panama,6967,@117199 Here to help! Please send us a note at https://t.co/R8Xm8a7StU and we'll be happy to look into this for you.
6973,Some of the worst delivery service I have ever received in my life @115877,6971,@117200 We're here to help. Can you please send us a DM so we can connect?
6976,@Uber_Support i change my number i need to update and i'm having problems cause in the app don't let me do that even in the site help!!,6974,@117201 Here to help! Send us a note here https://t.co/RY2a0oDSbF so we can further assist.
6979,".@Uber_Support Thanks to your AMAZING customer service, you have just lost 2 customers who have spent nearly $1500 this year. GREAT WORK!",6977,@117202 We're here to help! Send us a DM with your email address and more details so we can follow up.
6981,@Uber_Support page isn't working...,6983,"@117203 Sorry to hear the trouble, Prashant! Let's get this sorted out via https://t.co/QsI1vsvcif and a member of our team will be in contact."
6984,@Uber_Support This is what m getting everytime...Any response to this ? https://t.co/ZgFJCQjRN8,6985,@117203 Sorry to hear about the trouble! We're not seeing any issues on our end. Have you tried clearing your cookies?
6982,"WTH !! @115873  Totally unprofessional. First,Cancelled the ride without informing me and Second, charging me for that. 😡😠",6980,"@117203 We can definitely take a closer look! Contact us here; https://t.co/593jusCquh , so we can help."
6987,"We ordered food on @115877 for 8 hungry neighborhood kids, AND THEY CANCELLED THE ORDER AFTER AN HOUR OF WAITING. R you eff'n kidding me?!",6986,@117204 Here to help. Send us a note at https://t.co/P4hKbfQBbP so our team can connect.
6989,@Uber_Support I'm ready 2 file a complaint with Better Business Bureau &amp; FTC over misleading info Uber sent 2 me in an email &amp; overcharging,6988,@117205 We apologize for the trouble! Send us a DM with your email address with additional details and we'll follow up.
6991,. @Uber_Support I ORDERED CHIPS AND QUESO AND I GOT NO CHIPS PLEASE HELP,6990,@117206 Here to help! Send us a note at https://t.co/ZFaWy0Lkdu so our team can further assist.
7016,"@Uber_Support Hi. I lost my phone in an Uber. App asks me to submit my phone number to make contact,I only had mobile as travelling.",7014,@117215 Happy to help! Please confirm your email address or phone number through direct message so we can further assist.
8583,"@Uber_Support just got kicked out of this guy’s car because he didn’t want to drive me home. Insult to injury, you charge me $7. #uberfail https://t.co/pJZuJmyyEj",8582,@117512 We take this very seriously. Please send us a DM with your email address so we can connect ASAP.
8585,So how about my goddamned money https://t.co/FIf624cXYJ,8584,@117513 Here to help. Send us a note at https://t.co/1xM0TILvAI so our team can connect.
8587,@Uber_Support https://t.co/rOY8MXSxYF,8586,@117514 Our team has recently responded via email. Please reply there if you have additional questions!
8591,"@Uber_Support Remedy &amp; please refund my $5, that's breakfast money tomorrow, thank you. https://t.co/dT6DYbPZO6",8588,"@117514 Hi there, we're here to help! Send us a note via https://t.co/w7r2O6dMbU so our team can connect."
8593,@Uber_Support @117516 this was our driver she was so rude and tried to sell us fishplates during our ride. https://t.co/J8OtncW9vI,8592,@117515 Sorry to hear about that! Send us a DM with your email address so we can follow up.
8595,@Uber_Support me and my good sis @117516 had an issue with a driver recently...can you please help?,8594,"@117515 Hi there, we're here to help! Send us a note here; https://t.co/z8NNR56eyf so we can assist you with this."
8598,@115877 @117518 am I going to get a refund...? https://t.co/67jUGLxYLH,8597,@117517 Find out more info about  cancelled order here: https://t.co/BjBRiTu5jM
8600,"@Uber_Support I have already use these alternative a few days ago, and haven't had any answer yet :/",8602,@117519 Happy to further assist you. Can you please send us a DM (direct message) with your email address and additional details?
8604,@Uber_Support I all ready send the DM,8605,@117519 We appreciate your interest in partnering with us! Head over to https://t.co/ECaQNtAugG to get the sign-up process started.
8601,"@Uber_Support were can I receive attention ? Im a restaurant owner in Queretaro, Mexico and I want to work with your apo",8599,@117519 Find out more info about Partnering here: https://t.co/ZwVoSvDV1Z
8607,@115873 How about your drivers in London don’t cancel on you after 15 minutes of being ‘on the way’ then charge you anyway. Happened several times.,8606,@117520 We're sorry to hear this was your experience. Contact us via https://t.co/e8HVorX5rh and we'll be in touch.
8658,@Uber_Support:  Do you have a customer support email?,8657,@117521 Here to help! Connect with us through https://t.co/zUe0dj6yoX and we'll be in touch.
9307,"So @Uber_Support your ""support team"" gave me BS ""answers"" and then refused to speak to me.

PayPal didn't. Goodbye, @115873! :)

Hello, @115879. https://t.co/79MBtmyS1t",9305,@117656 Sorry to hear about the trouble. We just sent you a DM.
9311,@117658 @117115 @115877 We don't just want #Convenience!!!! We want you to get our orders correct!!! @117115 @McDonalds  #ihatemcdonalds,9309,@117657 Here to help! Please send us a note at https://t.co/1HQv7maoLK and we'll be happy to look into this for you.
9314,"@115873 1 That makes @115879 better than U!
When somebody throws up in a driver's vehicle they remove the rating! Especially if they have to $$$",9313,@117659 Sorry to hear that. We just sent you a DM.
9316,Wish I could give Uber drivers 5 stars while simultaneously giving the @Uber_Support app a 0 star rating for giving the wrong directions 🙄,9315,@117660 We can take a look! Send us a note via https://t.co/QDn91HzZV0 so our team can get in touch.
9318,@115877 can you bring me a bottle of sparkling rosé?,9317,@117661 Here to help! Send us a note at https://t.co/NcKEnQDmxQ so our team can connect.
9320,"@Uber_Support I accidentally picked up the wrong order from my lobby, can you help? I can deliver the food if I have an apt number.",9319,@117662 Here to help! Follow up here; https://t.co/Tq0sPMsSdu and our team will connect right away.
9322,@Uber_Support I submitted again through the link you provided me.,9321,@117663 Please send us a DM with your account email address and we'll connect.
9322,@Uber_Support I submitted again through the link you provided me.,9323,@117663 We've followed up via DM!
9326,"@Uber_Support when will you update your in app location services for Edmonton, Alberta, Canada? Uber drivers never find our area Maple Crest",9324,@117663 We can take a look! Send us a note via https://t.co/QDn91HzZV0 so our team can get in touch.
9328,@115877 My app isn’t working whenever I try to check out.,9327,@117664 We're here to help! Send us a DM with your email address so we can follow up.
9337,"@Uber_Support I waited 20 minutes for a ride - driver around the corner the whole time! No $5.00 fee, please.",9336,@117665 Here to help. Send us a note at https://t.co/e8HVorX5rh so our team can connect.
9339,@659 @115877 It just doesn’t make sense https://t.co/ULdLAtcea2,9338,@117666 We're sorry to hear this. Please contact us via https://t.co/ZFaWy0Lkdu so our team can connect.
9851,@Uber_Support STOP SENDING ME DRIVERS SAYING THEIR 5 MINUTES AWAY WHEN THEY'RE REALLY 20 I HAVE PLACES TO BE!,9850,@117812 We can take a look! Send us a note via https://t.co/e8HVorX5rh so our team can get in touch.
9853,"@Uber_Support I've had 10+  emails trying to get UberEats charges moved to a correct card. 3 of 6 moved, getting run around. Help!",9852,@116866 Here to help! Send us a DM with your email address so we can assist.
9855,@Uber_Support Pretty sure I detailed what the issue is blatantly. Y’all have no filter whatsoever on the driving skills of who you hire.,9857,@117813 Here to help. A member of our team have followed up via DM.
9856,Why is everyone that works for @115873 literally the worst driver on the road at any given time,9854,"@117813 Here to help! Please DM us your email address and provide more details about your concern, so we can further assist."
9859,@Uber_Support but i dont register yet thanks to the sms code,9861,@117814 We can definitely take a closer look! Please send us a DM of the email address connected to your account so we can further assist.
9860,@Uber_Support today dont works the sms code for registration new account?,9858,@117814 Here to help. Send us a note at https://t.co/dwDjAokZht so our team can connect.
9863,@115877 is a joke. Made us wait 50 minutes just to tell us they can't fulfill the order and cancelled it😡,9862,@117815 Here to help! Please send us a note at https://t.co/StKy7B0k57 and we'll be happy to look into this for you.
10319,"@115873 @Uber_Support hopeless. Waiting for someone to respond on my request, more than 30 hrs",10318,"@117869 Hi, Biplab. A member of our team has been in touch via in-app support regarding this issue. Please check the ""Help"" section of the app and reply there directly."
10609,". @Uber_Support two days Ives been trying to us this app. 
All I want McDonald's breakfast while not having to leave my bed and this is very problematic. https://t.co/4jzMdFbtpx",10608,@117939 We're here to help! Send us a DM with your email address so we can assist.
10698,@Uber_Support Thanks - our baby is &lt;12mos and we need our car seat to fly so I was wondering if we can bring our own car seat and install via belt buckle in any UberX to go to the airport,10696,"@117969 Hi there! Yes, you're always welcome to bring your own car seat along for the ride."
10700,@Uber_Support can we bring our own carseat in an UberX ride to the airport?,10699,@117969 Here to help! Find out more here on how Uber Car Seat works https://t.co/B7TnOOg1JY
10702,@115873 I am still waiting for a response in regards to my account being disabled. Is there a number I can call?,10701,@117970 Sorry to hear about the trouble! We just sent you a DM.
10706,Want’s the point of Uber VIP when 4 of my friends that aren’t VIP’s all got 50% deals ? @Uber_Support,10705,@117972 Happy to help! Please reach out to https://t.co/zUe0dj6yoX and fill out the 4 boxes at the bottom so we can get in touch.
10708,I had a couple of @115873 drivers show up at my house with that Middle Eastern attire stinking of ME food.,10707,@117973 Here to help! Connect with us through https://t.co/zUe0dj6yoX and we'll be in touch.
11146,I need to file a complaint w/ @115873 ASAP! Anyone know of the email address I need???,11145,@118109 Hi there! You may write into https://t.co/zUe0dj6yoX and fill out the 4 boxes at the bottom so we can get in touch.
11148,@Uber_Support I have been doing that for the last 50mins no reply,11150,@118110 Here to assist! Please send us a DM of the email address connected to your account and more details so we can take a closer look.
11148,@Uber_Support I have been doing that for the last 50mins no reply,11151,@118110 We see your outreach and a member of our team will be following up via email as soon as possible. We appreciate your patience.
11149,Someone from @115873 needs to contact me ASAP or I am reporting there company this is ridiculous,11147,@118110 Here to help! Connect with us through https://t.co/zUe0dj6yoX and we'll be in touch.
11153,@Uber_Support How long does it take to get approved as a driver?,11152,@118111 We can take a look! Send us a note via https://t.co/LDXEzScUGp so our team can get in touch.
11155,@Uber_Support if I wanted to be an UberEATS driver could I be under someone else’s insurance policy to qualify?,11154,@118111 We’re here to help! Send us a note via https://t.co/uRjsQ64qLY and we'll be in touch.
11157,"WHO THE HECK GAVE ME LESS THAN 5 STARS?! I’m a pleasure. @115873, please address and fix. https://t.co/7LzHzpYRpP",11156,@118112 Hi Violetta! Find out more info about how ratings are determined here: https://t.co/kWptmPArTP
11159,"What's the point of @115873's split fare feature if it never works, ever? @Uber_Support",11158,@118113 Here to help! Please send us a note at https://t.co/OhfgxSAY58 and we'll be happy to look into this for you.
11161,I hope the dumb bitch that stole my wallet in my @115873 pool chokes on a dick and gets a week load of diarrhea!,11160,@118114 Here to help. Send us a note at https://t.co/kUyzFAuBFV so our team can connect.
